node_name,ipmi_system_power_watts
6764465,1692
06764465,856
184b905d,3610
3a4828f5,9399
46362b76,5252
4985a7cf,12428
4d8b845e,4372
578d99bd,2947
6342c79e,1420
668c569c,2612
7c804642,11353
972da8ab,774
a484c600,7130
a639d055,1002
a9e38583,9454
bb1bcaff,9871
c9900ab9,17034
d35334d1,1164
d8d6d1e0,3511
dda1bb77,6508
fb77ceef,963
