cluster,node_name,cpu_cat,eff_class,count
2,341872a6,high,moderate,3915
2,341872a6,low,inefficient,118
2,341872a6,medium,inefficient,1135
2,341872a6,medium,moderate,1005
2,341872a6,very_high,efficient,6541
2,341872a6,very_high,moderate,3291
2,41721e4b,idle,inefficient,16012
2,5180b174,high,moderate,4566
2,5180b174,low,inefficient,159
2,5180b174,medium,inefficient,2019
2,5180b174,medium,moderate,393
2,5180b174,very_high,efficient,5188
2,5180b174,very_high,moderate,3686
2,5333662e,high,moderate,3323
2,5333662e,low,inefficient,28
2,5333662e,medium,inefficient,650
2,5333662e,medium,moderate,579
2,5333662e,very_high,efficient,2457
2,5333662e,very_high,moderate,2270
2,5ede733f,idle,inefficient,16017
2,6fdf4d0d,high,moderate,3788
2,6fdf4d0d,low,inefficient,552
2,6fdf4d0d,medium,inefficient,374
2,6fdf4d0d,medium,moderate,882
2,6fdf4d0d,very_high,efficient,3625
2,6fdf4d0d,very_high,moderate,2659
2,8674a4f2,high,moderate,4000
2,8674a4f2,low,inefficient,77
2,8674a4f2,medium,inefficient,671
2,8674a4f2,medium,moderate,1236
2,8674a4f2,very_high,efficient,6513
2,8674a4f2,very_high,moderate,3470
2,8ccd7b3c,idle,inefficient,20729
2,8ccd7b3c,low,inefficient,226
2,8ccd7b3c,medium,moderate,3
2,8ccd7b3c,very_high,inefficient,7633
2,8d5a6c7e,idle,inefficient,22695
2,8d5a6c7e,low,moderate,1
2,8d5a6c7e,very_high,inefficient,7632
2,a2ffa1e3,idle,inefficient,16018
2,b9c737a2,high,efficient,1
2,b9c737a2,high,moderate,1244
2,b9c737a2,low,inefficient,630
2,b9c737a2,medium,inefficient,2249
2,b9c737a2,medium,moderate,1247
2,b9c737a2,very_high,efficient,815
2,b9c737a2,very_high,moderate,551
2,bce59923,high,moderate,4134
2,bce59923,low,inefficient,43
2,bce59923,medium,inefficient,540
2,bce59923,medium,moderate,1054
2,bce59923,very_high,efficient,6863
2,bce59923,very_high,moderate,3373
2,bd55f82d,idle,inefficient,16016
2,c658b44f,idle,inefficient,1
2,c658b44f,very_high,inefficient,7070
2,e5886d85,high,moderate,2749
2,e5886d85,low,inefficient,226
2,e5886d85,medium,inefficient,715
2,e5886d85,medium,moderate,1052
2,e5886d85,very_high,efficient,5078
2,e5886d85,very_high,moderate,3079
2,eb5d8f42,idle,inefficient,15845
2,eb5d8f42,very_high,inefficient,2
2,f006f6ea,high,moderate,1849
2,f006f6ea,low,inefficient,78
2,f006f6ea,medium,inefficient,1239
2,f006f6ea,medium,moderate,566
2,f006f6ea,very_high,efficient,3003
2,f006f6ea,very_high,moderate,1487
2,f301a5e3,idle,inefficient,2051
