cluster,node_name,cpu_cat,eff_class,count
2,5333662e,high,efficient,3323
2,5333662e,low,efficient,14
2,5333662e,low,moderate,14
2,5333662e,medium,efficient,1229
2,5333662e,very_high,efficient,4727
2,5ede733f,idle,inefficient,12537
2,5ede733f,idle,moderate,3480
2,6fdf4d0d,high,efficient,3788
2,6fdf4d0d,low,efficient,490
2,6fdf4d0d,low,moderate,62
2,6fdf4d0d,medium,efficient,1256
2,6fdf4d0d,very_high,efficient,6284
2,8674a4f2,high,efficient,4000
2,8674a4f2,low,efficient,71
2,8674a4f2,low,moderate,6
2,8674a4f2,medium,efficient,1907
2,8674a4f2,very_high,efficient,9983
2,8ccd7b3c,idle,efficient,2
2,8ccd7b3c,idle,inefficient,1668
2,8ccd7b3c,idle,moderate,19059
2,8ccd7b3c,low,efficient,13
2,8ccd7b3c,low,moderate,213
2,8ccd7b3c,medium,efficient,3
2,8ccd7b3c,very_high,inefficient,7633
2,8d5a6c7e,idle,inefficient,1652
2,8d5a6c7e,idle,moderate,21043
2,8d5a6c7e,low,efficient,1
2,8d5a6c7e,very_high,inefficient,7632
2,a2ffa1e3,idle,inefficient,12028
2,a2ffa1e3,idle,moderate,3990
2,b9c737a2,high,efficient,1245
2,b9c737a2,low,efficient,483
2,b9c737a2,low,moderate,147
2,b9c737a2,medium,efficient,3496
2,b9c737a2,very_high,efficient,1366
2,bce59923,high,efficient,4134
2,bce59923,low,efficient,43
2,bce59923,medium,efficient,1594
2,bce59923,very_high,efficient,10236
2,bd55f82d,idle,inefficient,13586
2,bd55f82d,idle,moderate,2430
2,c658b44f,idle,inefficient,1
2,c658b44f,very_high,inefficient,7070
2,e5886d85,high,efficient,2749
2,e5886d85,low,efficient,224
2,e5886d85,low,moderate,2
2,e5886d85,medium,efficient,1767
2,e5886d85,very_high,efficient,8157
2,eb5d8f42,idle,inefficient,10331
2,eb5d8f42,idle,moderate,5514
2,eb5d8f42,very_high,inefficient,2
2,f006f6ea,high,efficient,1849
2,f006f6ea,low,efficient,77
2,f006f6ea,low,moderate,1
2,f006f6ea,medium,efficient,1805
2,f006f6ea,very_high,efficient,4490
2,f301a5e3,idle,inefficient,1965
2,f301a5e3,idle,moderate,86
