vm_id,user_id,project_id,image_ref,vcpus,memory_mb,root_gb,ephemeral_gb
09b00ea6,e4e85d1c,43d3e415,4978b5c9,64.0,130000.0,300.0,0.0
cb521e0f,e4e85d1c,43d3e415,4978b5c9,64.0,130000.0,300.0,0.0
e73ea4cf,17de5058,7d4a4a5a,d0d0d492,4.0,11000.0,20.0,0.0
6f34119d,17de5058,7d4a4a5a,d0d0d492,16.0,46000.0,40.0,0.0
49f37e7d,f098d7fe,c5e1c75e,40528991,4.0,11000.0,20.0,0.0
1ef22ae3,687850f0,a99b2934,23141714,4.0,11000.0,20.0,0.0
1874169b,687850f0,a99b2934,ff7564db,4.0,11000.0,20.0,0.0
b2f29695,687850f0,a99b2934,23141714,24.0,44000.0,500.0,0.0
bc1a9d9d,687850f0,a99b2934,23141714,24.0,44000.0,500.0,0.0
6e176596,687850f0,a99b2934,23141714,24.0,44000.0,500.0,0.0
3f1153d5,687850f0,a99b2934,23141714,24.0,44000.0,500.0,0.0
e068054a,687850f0,a99b2934,23141714,48.0,88000.0,1000.0,0.0
6ece5dcb,687850f0,a99b2934,23141714,48.0,88000.0,1000.0,0.0
72ad98b4,687850f0,a99b2934,23141714,24.0,44000.0,500.0,0.0
ca0934a8,f098d7fe,c5e1c75e,40528991,16.0,46000.0,40.0,0.0
3b16a26a,f098d7fe,c5e1c75e,40528991,16.0,46000.0,40.0,0.0
4546a9e3,7f7c4759,50c87cc4,74779b4a,2.0,5000.0,10.0,0.0
81deeca8,fe56c37c,73f33335,eea85cf0,4.0,11000.0,20.0,0.0
a0e4673a,fe56c37c,73f33335,eea85cf0,2.0,5000.0,10.0,0.0
59f970b0,9baaeb49,7d4a4a5a,fbf55784,4.0,11000.0,20.0,0.0
df65cd21,7f7c4759,50c87cc4,74779b4a,8.0,23000.0,30.0,0.0
dac23860,f098d7fe,c5e1c75e,e9c96c1b,16.0,46000.0,40.0,0.0
1f520281,f098d7fe,c5e1c75e,e9c96c1b,16.0,46000.0,40.0,0.0
e8fd37fe,c0ede4e4,e7f3706a,74779b4a,4.0,11000.0,20.0,0.0
408b2e77,f098d7fe,c5e1c75e,e9c96c1b,16.0,46000.0,40.0,0.0
d7335d6a,c0ede4e4,e7f3706a,c47411e7,5000.0,10.0,0.0,
74f7b825,c0ede4e4,e7f3706a,c47411e7,5000.0,10.0,0.0,
8d99a289,c0ede4e4,e7f3706a,c47411e7,5000.0,10.0,0.0,
61be3f70,c0ede4e4,e7f3706a,74779b4a,4.0,11000.0,20.0,0.0
d3d2dc2f,f098d7fe,c5e1c75e,e045e1b5,16.0,46000.0,40.0,0.0
b1fa7a33,4a88a504,4bd44b4c,7d2eb906,4.0,11000.0,20.0,0.0
80eb066f,10175724,7d4a4a5a,e9c96c1b,4.0,11000.0,20.0,0.0
99b019df,687850f0,a99b2934,7d2eb906,4.0,11000.0,20.0,0.0
161a1da3,687850f0,a99b2934,7d2eb906,4.0,11000.0,20.0,0.0
bccf30b5,687850f0,a99b2934,7d2eb906,4.0,11000.0,20.0,0.0
3a2a709e,687850f0,a99b2934,ff7564db,24.0,44000.0,500.0,0.0
9585c773,687850f0,a99b2934,ff7564db,24.0,44000.0,500.0,0.0
ae34f2ed,687850f0,a99b2934,ff7564db,48.0,88000.0,1000.0,0.0
bf28c8c1,687850f0,a99b2934,ff7564db,48.0,88000.0,1000.0,0.0
10089574,17de5058,73f33335,03708c02,64.0,130000.0,200.0,0.0
565010d5,17de5058,7d4a4a5a,03708c02,64.0,130000.0,200.0,0.0
78b0ef03,17de5058,73f33335,03708c02,64.0,130000.0,200.0,0.0
efe7ef34,17de5058,73f33335,03708c02,64.0,130000.0,200.0,0.0
fe6a63da,17de5058,7d4a4a5a,28db2364,64.0,130000.0,200.0,0.0
5183f3b2,a16f591f,7d4a4a5a,7d2eb906,64.0,185000.0,100.0,0.0
3c92802c,a16f591f,7d4a4a5a,7d2eb906,32.0,92000.0,50.0,0.0
1cf0be44,f098d7fe,c5e1c75e,15e89190,4.0,11000.0,20.0,0.0
0dc1139e,f098d7fe,c5e1c75e,15e89190,4.0,11000.0,20.0,0.0
fae1b463,a878bb6a,a179bb74,28db2364,16.0,46000.0,40.0,0.0
5252c664,a878bb6a,a179bb74,28db2364,16.0,46000.0,40.0,0.0
9bf2d258,a878bb6a,a179bb74,28db2364,4.0,11000.0,20.0,0.0
9197059c,a878bb6a,a179bb74,28db2364,4.0,11000.0,20.0,0.0
1450d753,a878bb6a,a179bb74,28db2364,4.0,11000.0,20.0,0.0
653948d5,a878bb6a,a179bb74,28db2364,2.0,5000.0,10.0,0.0
68436b1f,f098d7fe,c5e1c75e,15e89190,4.0,11000.0,20.0,0.0
7c891f18,17de5058,7d4a4a5a,ff7564db,128.0,370000.0,300.0,0.0
e0efc15f,17de5058,7d4a4a5a,ff7564db,1.0,2000.0,10.0,0.0
f3aa7c8f,17de5058,7d4a4a5a,ff7564db,16.0,46000.0,40.0,0.0
b4a8a03e,17de5058,7d4a4a5a,ff7564db,16.0,46000.0,40.0,0.0
0041e677,17de5058,7d4a4a5a,ff7564db,16.0,46000.0,40.0,0.0
5b8f5e83,17de5058,73f33335,03708c02,128.0,370000.0,300.0,0.0
259be9d0,17de5058,73f33335,ff7564db,1.0,2000.0,10.0,0.0
e1c1e54d,17de5058,73f33335,ff7564db,16.0,46000.0,40.0,0.0
a4c8d648,1970b804,0cbb333b,03708c02,2.0,5000.0,10.0,0.0
35ec4c58,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
fd4434c9,4a88a504,4bd44b4c,d6bff890,4.0,11000.0,20.0,0.0
40d350bf,4a88a504,4bd44b4c,d6bff890,8.0,23000.0,30.0,0.0
58b3251b,4a88a504,4bd44b4c,d6bff890,4.0,11000.0,20.0,0.0
d1be6e0d,fe56c37c,73f33335,eea85cf0,4.0,11000.0,20.0,0.0
9ca11928,fe56c37c,73f33335,eea85cf0,2.0,5000.0,10.0,0.0
dcc9827c,de65e922,a9366595,ed9508a2,16.0,46000.0,40.0,0.0
4ff41670,de65e922,a9366595,ed9508a2,1.0,2000.0,10.0,0.0
cc86e783,17de5058,7d4a4a5a,ff7564db,8.0,23000.0,30.0,0.0
e9798179,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
f9e2accf,41a5c328,7d4a4a5a,fbf55784,4.0,11000.0,20.0,0.0
617ba030,41a5c328,7d4a4a5a,fbf55784,2.0,5000.0,10.0,0.0
3e322f7f,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
48102938,41a5c328,7d4a4a5a,fbf55784,1.0,2000.0,10.0,0.0
f8093fae,17de5058,7d4a4a5a,d0d0d492,16.0,46000.0,40.0,0.0
f701b69a,17de5058,7d4a4a5a,d0d0d492,16.0,46000.0,40.0,0.0
465cef03,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
5486492a,17de5058,7d4a4a5a,4a4f3b6f,8.0,16000.0,60.0,0.0
15497bd1,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
88a350ca,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
928356e5,39786247,7d4a4a5a,ff7564db,32.0,92000.0,50.0,0.0
3b02e532,39786247,7d4a4a5a,ff7564db,32.0,92000.0,50.0,0.0
9679e257,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
525134f6,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
c3297a97,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
b3382983,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
845db8a0,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
3e3fac58,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
6f951cdb,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
e80b91dd,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
4f0a017d,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
1f72fc12,7f7c4759,50c87cc4,74779b4a,4.0,11000.0,20.0,0.0
7a3921bc,94d5b733,7fdd1b8b,d3f02c4f,4.0,11000.0,20.0,0.0
76d40d29,94d5b733,7fdd1b8b,d3f02c4f,4.0,11000.0,20.0,0.0
5d14c1f6,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
c6b13b89,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
06e83870,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
4fdf7495,756b77ce,0cbb333b,ed9508a2,8.0,23000.0,30.0,0.0
404b13ee,756b77ce,0cbb333b,ed9508a2,8.0,23000.0,30.0,0.0
f1fead02,756b77ce,0cbb333b,ed9508a2,1.0,2000.0,10.0,0.0
2ae71d02,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
79ecf890,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
8c66686c,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
a0892bb4,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
821a2205,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
15238002,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
c3cc7b6e,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
f7e7aa51,17de5058,7d4a4a5a,d0d0d492,64.0,185000.0,100.0,0.0
93478ef1,17de5058,7d4a4a5a,d0d0d492,2.0,5000.0,10.0,0.0
ec60ea98,167938a6,f09054da,263f5aff,4.0,11000.0,20.0,0.0
74d1fbb1,4af667b3,3f1912c2,263f5aff,16.0,46000.0,40.0,0.0
7f9c6bb0,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
8e42bb58,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
857a76fa,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
c87987bf,9ed7c4cb,7d4a4a5a,6db73180,8.0,16000.0,60.0,0.0
251091ea,17de5058,7d4a4a5a,263f5aff,64.0,130000.0,200.0,0.0
439c1657,17de5058,7d4a4a5a,ff7564db,64.0,130000.0,200.0,0.0
ce93921b,17de5058,7d4a4a5a,ff7564db,64.0,130000.0,200.0,0.0
cd250600,17de5058,7d4a4a5a,ff7564db,64.0,130000.0,200.0,0.0
8d8afd4d,f098d7fe,c5e1c75e,a0d268dd,16.0,46000.0,40.0,0.0
8d097b4a,39786247,7d4a4a5a,263f5aff,64.0,130000.0,200.0,0.0
087c7468,167938a6,6a558d19,7149e974,32.0,92000.0,50.0,0.0
404b3ea1,17de5058,7d4a4a5a,ff7564db,2.0,5000.0,10.0,0.0
f561d6de,41a5c328,7d4a4a5a,bb17f208,1.0,2000.0,10.0,0.0
6cb8537b,93563d4d,89049b4b,c47411e7,5000.0,10.0,0.0,
2d47d86f,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
fafca9db,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
e263476f,4af667b3,3f1912c2,6585fed2,1.0,2000.0,10.0,0.0
b0d63d48,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
cba5afdf,f098d7fe,c5e1c75e,961200be,8.0,23000.0,30.0,0.0
81520164,39786247,7d4a4a5a,ff7564db,16.0,46000.0,40.0,0.0
139361ff,39786247,7d4a4a5a,ff7564db,64.0,130000.0,200.0,0.0
0431772d,8984204a,0cbb333b,4a4f3b6f,16.0,46000.0,40.0,0.0
fb0b0b96,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
6876248e,7f7c4759,50c87cc4,74779b4a,2.0,5000.0,10.0,0.0
efaba6f1,7f7c4759,50c87cc4,74779b4a,2.0,5000.0,10.0,0.0
0a0e5914,8984204a,7fdd1b8b,d0d0d492,2.0,5000.0,10.0,0.0
d688d33e,8984204a,7fdd1b8b,d0d0d492,2.0,5000.0,10.0,0.0
ee336dce,8984204a,7fdd1b8b,ff7564db,2.0,5000.0,10.0,0.0
0022f286,f098d7fe,c5e1c75e,961200be,4.0,11000.0,20.0,0.0
748bfc6d,f098d7fe,c5e1c75e,961200be,4.0,11000.0,20.0,0.0
d73e8a4b,9ed7c4cb,7d4a4a5a,8236d8c3,8.0,16000.0,60.0,0.0
fd60f344,f098d7fe,c5e1c75e,961200be,4.0,11000.0,20.0,0.0
e06513c6,7043311c,0e0251eb,e88a22d5,1.0,2000.0,10.0,0.0
ef84013a,4af667b3,3f1912c2,5ed1b1aa,192000.0,30.0,0.0,
