,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
431,2,0064a367,extreme,efficient,3340,7799,42.82600333376074
432,2,0064a367,high,efficient,78,7799,1.0001282215668676
433,2,0064a367,idle,slightly inefficient,1,7799,0.012822156686754713
434,2,0064a367,low,slightly inefficient,2326,7799,29.82433645339146
435,2,0064a367,medium,efficient,648,7799,8.308757533017054
436,2,0064a367,medium,slightly inefficient,1010,7799,12.95037825362226
437,2,0064a367,very_high,efficient,396,7799,5.077574047954866
438,2,0065ef1b,idle, extremely inefficient,15994,16001,99.95625273420411
439,2,0065ef1b,idle,inefficient,7,16001,0.04374726579588776
440,2,05c5ef00,extreme,efficient,1935,15991,12.100556563066725
441,2,05c5ef00,high,efficient,1298,15991,8.117065849540367
442,2,05c5ef00,idle, extremely inefficient,11467,15991,71.7090863610781
443,2,05c5ef00,idle,inefficient,27,15991,0.16884497529860545
444,2,05c5ef00,idle,slightly inefficient,7,15991,0.04377462322556438
445,2,05c5ef00,low,slightly inefficient,465,15991,2.907885685698205
446,2,05c5ef00,medium,efficient,14,15991,0.08754924645112876
447,2,05c5ef00,medium,slightly inefficient,18,15991,0.11256331686573698
448,2,05c5ef00,very_high,efficient,760,15991,4.752673378775561
449,2,0861be67,idle, extremely inefficient,15994,16000,99.9625
450,2,0861be67,idle,inefficient,6,16000,0.0375
451,2,1125a01c,idle, extremely inefficient,15999,16003,99.97500468662126
452,2,1125a01c,idle,inefficient,4,16003,0.024995313378741488
453,2,13a6f4c8,idle, extremely inefficient,15430,16002,96.42544681914761
454,2,13a6f4c8,idle,inefficient,388,16002,2.424696912885889
455,2,13a6f4c8,idle,slightly inefficient,178,16002,1.11236095488064
456,2,13a6f4c8,low,slightly inefficient,6,16002,0.03749531308586427
457,2,1d247e53,idle, extremely inefficient,15974,16004,99.81254686328418
458,2,1d247e53,idle,inefficient,30,16004,0.18745313671582106
459,2,1e64c783,idle, extremely inefficient,15670,15891,98.6092756906425
460,2,1e64c783,idle,inefficient,188,15891,1.1830595934805865
461,2,1e64c783,idle,slightly inefficient,10,15891,0.06292870178088227
462,2,1e64c783,low,slightly inefficient,23,15891,0.1447360140960292
463,2,22655375,idle, extremely inefficient,2069,2108,98.14990512333965
464,2,22655375,idle,inefficient,24,2108,1.1385199240986716
465,2,22655375,idle,slightly inefficient,15,2108,0.7115749525616698
466,2,25fe225b,idle, extremely inefficient,14572,16003,91.05792663875523
467,2,25fe225b,idle,inefficient,1337,16003,8.354683496844343
468,2,25fe225b,idle,slightly inefficient,94,16003,0.587389864400425
469,2,2eea5215,extreme,efficient,1,1,100.0
470,2,2fded806,idle, extremely inefficient,5481,16001,34.25410911818012
471,2,2fded806,idle,inefficient,10483,16001,65.51465533404162
472,2,2fded806,idle,slightly inefficient,37,16001,0.23123554777826383
473,2,391ea34d,idle, extremely inefficient,15742,16003,98.36905580203712
474,2,391ea34d,idle,inefficient,261,16003,1.630944197962882
475,2,3d7960e7,idle, extremely inefficient,4516,16005,28.216182442986565
476,2,3d7960e7,idle,inefficient,11489,16005,71.78381755701344
477,2,43e593b3,idle, extremely inefficient,7339,16003,45.86015122164594
478,2,43e593b3,idle,inefficient,2404,16003,15.022183340623632
