,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
123,2,578d99bd,idle, extremely inefficient,15159,16011,94.67865842233465
124,2,578d99bd,idle,inefficient,849,16011,5.302604459434139
125,2,578d99bd,idle,slightly inefficient,3,16011,0.01873711823121604
126,2,6342c79e,idle, extremely inefficient,16010,16010,100.0
127,2,668c569c,idle, extremely inefficient,16004,16008,99.97501249375313
128,2,668c569c,low, extremely inefficient,4,16008,0.02498750624687656
129,2,7c804642,idle, extremely inefficient,93,15863,0.5862699363298242
130,2,7c804642,idle,inefficient,15462,15863,97.47210489819076
131,2,7c804642,idle,slightly inefficient,308,15863,1.9416251654794177
132,2,972da8ab,idle, extremely inefficient,13907,16008,86.87531234382809
133,2,972da8ab,idle,inefficient,2095,16008,13.087206396801598
134,2,972da8ab,idle,slightly inefficient,6,16008,0.037481259370314844
135,2,a484c600,idle,inefficient,15776,16009,98.54456868011744
136,2,a484c600,idle,slightly inefficient,233,16009,1.455431319882566
137,2,a639d055,idle,inefficient,13609,16095,84.55420938179559
138,2,a639d055,idle,slightly inefficient,2486,16095,15.445790618204411
139,2,a9e38583,idle,inefficient,11349,15073,75.29357128640616
140,2,a9e38583,idle,slightly inefficient,3724,15073,24.70642871359384
141,2,bb1bcaff,idle, extremely inefficient,3780,15167,24.922529175182966
142,2,bb1bcaff,idle,inefficient,11326,15167,74.67528186193711
143,2,bb1bcaff,idle,slightly inefficient,61,15167,0.4021889628799368
144,2,c9900ab9,idle,inefficient,15963,16005,99.73758200562324
145,2,c9900ab9,idle,slightly inefficient,42,16005,0.2624179943767573
146,2,d35334d1,idle, extremely inefficient,3048,13638,22.34931808183018
147,2,d35334d1,idle,inefficient,10475,13638,76.80744977269394
148,2,d35334d1,idle,slightly inefficient,115,13638,0.8432321454758761
149,2,d8d6d1e0,idle, extremely inefficient,9,16009,0.0562183771628459
150,2,d8d6d1e0,idle,inefficient,15651,16009,97.76375788618901
151,2,d8d6d1e0,idle,slightly inefficient,349,16009,2.1800237366481356
152,2,dda1bb77,idle,slightly inefficient,15740,15908,98.94392758360573
153,2,dda1bb77,low,slightly inefficient,168,15908,1.056072416394267
154,2,fb77ceef,idle, extremely inefficient,1906,16007,11.907290560379833
155,2,fb77ceef,idle,inefficient,14031,16007,87.65540076216655
156,2,fb77ceef,idle,slightly inefficient,70,16007,0.437308677453614
