hour,node_name,count,mean,std,min,25%,50%,75%,max
0,0eb86326,880.0,154.30486363636365,51.800643142875295,85.83,102.5,144.58499999999998,210.83,240.0
0,7f3747b5,2320.0,91.44037499999999,5.316460180039578,83.33,88.33,90.0,93.33,130.83
0,ba36d475,2320.0,161.27980603448276,77.57716378835866,115.0,122.5,127.5,140.0,376.67
0,d5a5fc09,2320.0,163.72419396551723,109.3578526626193,86.67,96.67,103.33,196.8775,395.0
0,fe2955c5,2320.0,94.85557758620689,5.827449492141096,83.33,90.83,94.17,97.5,128.33
1,0eb86326,880.0,150.54914772727273,51.97822697950212,85.0,100.83,131.67,210.83,235.83
1,7f3747b5,2320.0,91.26544396551724,5.330740613705187,75.0,88.33,90.0,92.5,130.83
1,ba36d475,2320.0,158.57473706896553,77.59451430321845,115.0,121.67,125.83,132.5,372.5
1,d5a5fc09,2320.0,165.70942672413793,107.49348004684681,88.33,97.5,109.17,179.79000000000002,392.5
1,fe2955c5,2320.0,94.79698275862069,5.841124427278606,84.17,90.83,94.17,97.5,130.83
2,0eb86326,880.0,148.58522727272728,51.866905552995924,86.67,100.6225,123.33,210.83,234.17
2,7f3747b5,2320.0,91.28659051724138,5.07899394864746,83.33,88.33,90.0,92.5,125.0
2,ba36d475,2320.0,157.73959051724137,77.62429098977327,115.0,121.67,125.0,130.83,385.0
2,d5a5fc09,2320.0,161.87497844827584,106.66468155952293,86.67,95.83,104.17,135.0,394.17
2,fe2955c5,2320.0,94.73848706896551,5.515179718401411,84.17,90.83,94.17,97.5,130.0
3,0eb86326,880.0,146.7224318181818,52.02948991171406,87.5,100.83,117.08500000000001,210.2075,229.17
3,7f3747b5,2320.0,91.19898275862069,4.9491278954075515,85.0,88.33,90.0,92.5,121.67
3,ba36d475,2320.0,157.23522413793106,77.65836642029176,100.0,120.83,125.0,130.0,370.83
3,d5a5fc09,2320.0,158.49891810344826,106.5458989715717,86.67,95.0,100.83,130.83,397.5
3,fe2955c5,2320.0,94.82286637931036,5.837004363456976,85.0,90.83,94.17,97.5,130.83
4,0eb86326,880.0,144.068125,50.85201276977623,86.67,100.83,115.0,210.0,225.83
4,7f3747b5,2320.0,91.51535344827586,5.225518698715239,84.17,88.33,90.0,92.5,133.33
4,ba36d475,2320.0,156.7448275862069,77.84420936668111,115.0,120.0,124.17,129.17,370.0
4,d5a5fc09,2320.0,157.71772413793104,106.47268734996612,86.67,95.0,100.83,130.83,392.5
4,fe2955c5,2320.0,94.85957327586208,5.727425637394676,85.0,90.83,94.17,97.5,130.0
5,0eb86326,880.0,141.45453409090908,50.580417660886226,86.67,100.0,113.33,210.0,224.17
5,7f3747b5,2320.0,91.51358189655173,5.331505370807377,80.0,88.33,90.0,92.5,133.33
5,ba36d475,2320.0,155.01388362068963,79.00903162086354,115.0,120.0,120.83,125.0,372.5
5,d5a5fc09,2320.0,157.17455172413793,105.671962055683,87.5,95.0,100.83,128.54000000000002,391.67
5,fe2955c5,2320.0,94.82587931034483,5.594368842437707,85.0,90.83,94.17,97.5,129.17
6,0eb86326,880.0,143.24704545454546,52.08455264303645,86.67,101.67,114.17,209.17,268.33
6,7f3747b5,2320.0,91.42809913793104,5.058647556425356,84.17,88.33,90.0,93.33,123.33
6,ba36d475,2320.0,154.82029310344825,78.9673301829483,115.0,119.17,120.83,125.0,376.67
6,d5a5fc09,2320.0,156.17168965517243,103.8439416649621,85.83,95.0,100.83,128.54000000000002,400.83
6,fe2955c5,2320.0,94.94643534482758,5.737576173359829,85.0,90.83,94.17,97.5,126.67
7,0eb86326,880.0,153.15244318181817,56.86665467906577,88.33,101.46000000000001,125.0,211.67,318.33
7,7f3747b5,2320.0,91.42054310344827,5.140325456852663,83.33,88.33,90.0,93.33,127.5
7,ba36d475,2320.0,153.92059051724138,78.95238926759144,102.5,119.17,120.83,125.0,375.0
7,d5a5fc09,2320.0,156.51860344827588,104.07352283492581,86.67,95.0,100.83,130.0,400.83
7,fe2955c5,2320.0,94.94863362068965,5.777482287464432,83.33,90.83,94.17,97.5,128.33
8,0eb86326,880.0,160.752875,55.75386500758095,87.5,104.17,177.08499999999998,213.33,261.67
8,7f3747b5,2320.0,91.46799137931033,5.3925208311245845,83.33,88.33,90.0,93.33,150.0
8,ba36d475,2320.0,153.49595689655172,79.0675593090533,115.0,117.5,120.0,125.0,375.0
8,d5a5fc09,2320.0,156.9493620689655,104.01278739314651,88.33,95.0,101.67,136.455,391.67
8,fe2955c5,2320.0,94.92204741379311,6.015033436503319,85.0,90.83,94.17,97.5,129.17
9,0eb86326,889.0,164.32704161979754,57.454923107804504,87.5,103.33,182.5,215.83,277.5
9,7f3747b5,2329.0,91.81763847144697,5.67439921474325,81.67,88.33,90.83,93.33,135.0
9,ba36d475,2329.0,153.4793087161872,78.84429978825995,100.0,117.5,120.0,125.0,375.0
9,d5a5fc09,2329.0,160.08624302275655,103.47091329883254,85.83,95.83,102.5,203.33,391.67
9,fe2955c5,2329.0,95.05331043366252,6.285250823228266,81.67,90.83,94.17,97.5,143.33
10,0eb86326,900.0,168.62964444444444,59.170202754241004,85.83,100.83,188.75,221.04000000000002,288.33
10,7f3747b5,2340.0,91.55310256410257,5.265206990193941,83.33,88.33,90.0,93.33,132.5
10,ba36d475,2340.0,154.63017521367524,78.97698891147955,100.0,117.5,120.0,125.83,374.17
10,d5a5fc09,2340.0,160.6984957264957,104.16276619316095,85.83,95.83,101.67,220.0,395.83
10,fe2955c5,2340.0,95.07155555555556,5.904552795092698,84.17,90.83,94.17,97.5,135.83
11,0eb86326,900.0,167.3972333333333,58.638990257615276,85.0,101.46000000000001,187.5,219.17,269.17
11,7f3747b5,2340.0,91.81165811965813,5.438163874113858,62.5,88.33,90.0,93.33,133.33
11,ba36d475,2340.0,155.43590598290598,79.17617763295948,115.0,117.5,120.0,126.67,381.67
11,d5a5fc09,2340.0,160.84471794871794,105.23800121347517,86.67,95.83,102.5,214.3775,390.0
11,fe2955c5,2340.0,95.07020512820513,5.868993178789693,84.17,90.83,94.17,97.5,141.67
12,0eb86326,900.0,166.84067777777776,57.48118653275235,85.83,102.5,185.83,215.83,294.17
12,7f3747b5,2340.0,91.69618803418804,5.1926237105396345,83.33,88.33,90.83,93.33,123.33
12,ba36d475,2340.0,156.71425213675212,82.14053678913055,110.0,117.5,120.0,125.0,379.17
12,d5a5fc09,2340.0,160.32897435897436,106.12163049204098,86.67,95.83,101.67,211.67,391.67
12,fe2955c5,2340.0,95.13039743589742,5.856094588984764,83.33,90.83,94.17,97.5,134.17
13,0eb86326,900.0,169.39912222222222,55.74896632477531,85.0,103.33,189.17,213.33,275.83
13,7f3747b5,2340.0,91.4436452991453,4.755804940821545,83.33,88.33,90.0,93.33,124.17
13,ba36d475,2340.0,155.67875213675214,81.04278823238387,114.17,117.5,120.0,125.0,377.5
13,d5a5fc09,2340.0,159.10711965811967,105.15849924104049,86.67,95.83,101.67,195.0,391.67
13,fe2955c5,2340.0,94.84901282051283,5.703436511214832,84.17,90.83,94.17,97.5,130.83
14,0eb86326,900.0,169.96672222222222,55.268552168171766,85.83,107.5,189.17,213.33,275.83
14,7f3747b5,2340.0,91.47866239316238,4.929654614551091,82.5,88.33,90.0,93.33,125.0
14,ba36d475,2340.0,156.76273076923076,82.20093279515923,81.67,117.5,120.0,125.0,378.33
14,d5a5fc09,2340.0,156.51282478632479,104.97151987871247,86.67,95.6225,100.83,135.625,395.83
14,fe2955c5,2340.0,94.91491025641027,5.724059125986661,84.17,90.83,94.17,97.5,132.5
15,0eb86326,900.0,171.65635555555556,52.823289086413475,75.83,111.67,191.67,212.5,283.33
15,7f3747b5,2340.0,91.56913675213676,5.142257630077612,82.5,88.33,90.0,93.33,123.33
15,ba36d475,2340.0,155.9269615384615,80.76287532485497,115.0,117.5,120.0,125.0,377.5
15,d5a5fc09,2340.0,154.73973076923076,103.48894136411185,86.67,95.83,100.83,122.7075,390.83
15,fe2955c5,2340.0,95.02098717948718,6.040824014601055,82.5,90.83,94.17,97.5,132.5
16,0eb86326,900.0,171.0185222222222,53.11023574578456,86.67,108.33,191.25,212.5,258.33
16,7f3747b5,2340.0,91.32295726495727,4.986968890576108,83.33,88.33,90.0,93.33,130.83
16,ba36d475,2340.0,157.7496111111111,82.74170431260778,114.17,117.5,120.0,125.83,385.0
16,d5a5fc09,2340.0,157.07258547008547,105.44565123011182,85.0,95.0,100.83,137.70999999999998,390.0
16,fe2955c5,2340.0,94.83072222222222,5.942145126495744,82.5,90.83,94.17,97.5,132.5
17,0eb86326,900.0,169.5333666666667,52.45401539581702,85.83,108.33,188.33,211.8775,331.67
17,7f3747b5,2336.0,91.41787243150685,5.174798415463031,83.33,88.33,90.0,93.33,125.0
17,ba36d475,2336.0,158.0961044520548,83.30238789709324,115.0,117.5,120.0,126.67,383.33
17,d5a5fc09,2336.0,156.99113869863015,104.93641540484155,85.0,95.0,100.83,164.3775,395.0
17,fe2955c5,2336.0,94.83363441780821,5.866027705917505,84.17,90.83,94.17,97.5,131.67
18,0eb86326,900.0,169.5259,52.3754920330821,87.5,107.5,187.5,212.5,259.17
18,7f3747b5,2320.0,91.35524137931033,5.076693826602868,83.33,88.33,90.0,93.33,120.0
18,ba36d475,2320.0,156.47539655172415,82.74736095640948,110.0,117.5,120.0,125.0,377.5
18,d5a5fc09,2320.0,158.86028879310345,105.27300323550482,85.83,95.83,101.67,190.0,400.83
18,fe2955c5,2320.0,94.96831896551724,5.952590647957395,84.17,90.83,94.17,97.5,130.83
19,0eb86326,900.0,166.8778,54.03752693536527,83.33,106.67,185.0,211.67,313.33
19,7f3747b5,2320.0,91.60234913793104,5.390967022788431,82.5,88.33,90.0,93.33,125.83
19,ba36d475,2320.0,155.80018534482758,82.78280140031748,110.0,117.5,120.0,124.17,375.0
19,d5a5fc09,2320.0,166.007125,110.63454091287687,85.0,95.0,100.83,236.455,390.83
19,fe2955c5,2320.0,94.98161637931034,6.046039364405151,83.33,90.83,94.17,97.5,130.83
20,0eb86326,900.0,165.8824,52.57468454251797,86.67,108.33,185.0,210.83,316.67
20,7f3747b5,2320.0,91.61130603448275,5.47547991216543,83.33,88.33,90.0,93.33,135.83
20,ba36d475,2320.0,155.65291379310347,82.74975245570447,115.0,116.67,120.0,124.17,380.0
20,d5a5fc09,2320.0,170.8634224137931,115.71720749968365,85.83,95.0,100.83,285.0,412.5
20,fe2955c5,2320.0,94.89075862068965,5.928100717933294,85.0,90.83,94.17,97.5,147.5
21,0eb86326,900.0,164.82965555555555,53.42817776097069,85.0,106.67,184.17,211.67,309.17
21,7f3747b5,2320.0,91.52691810344828,5.575708737707235,81.67,88.33,90.0,93.33,126.67
21,ba36d475,2320.0,156.07827586206895,82.52708530336542,115.0,116.67,120.0,125.0,375.0
21,d5a5fc09,2320.0,165.46543965517242,112.89379773577632,86.67,95.0,100.83,234.58,409.17
21,fe2955c5,2320.0,95.07615086206896,6.3089117625054705,85.0,90.83,94.17,97.5,135.83
22,0eb86326,900.0,161.11577777777777,53.62019532790669,84.17,103.33,181.67,210.83,320.0
22,7f3747b5,2320.0,91.56207758620691,5.584574106796828,84.17,88.33,90.0,93.33,130.0
22,ba36d475,2320.0,155.78665517241382,82.44484461582438,115.0,117.5,120.0,125.0,380.0
22,d5a5fc09,2320.0,163.15843534482755,111.46141760027461,84.17,95.0,100.83,205.41500000000002,390.0
22,fe2955c5,2320.0,94.9521551724138,5.9549415785569835,84.17,90.83,94.17,97.5,125.83
23,0eb86326,900.0,159.91021111111107,53.81192064613686,85.83,102.5,182.08499999999998,211.67,313.33
23,7f3747b5,2320.0,91.51218534482759,5.629427463456896,82.5,88.33,90.0,93.33,125.0
23,ba36d475,2320.0,155.75675862068968,81.87737192367858,115.0,117.5,120.0,125.0,373.33
23,d5a5fc09,2320.0,163.30094396551723,111.3158656434715,86.67,95.6225,100.83,201.8725,390.0
23,fe2955c5,2320.0,94.9034051724138,6.045276713871591,83.33,90.83,94.17,97.5,133.33
