cpu_cat,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high
eff_class,efficient,efficient,efficient,efficient,efficient,efficient,inefficient,inefficient,inefficient,inefficient,inefficient,inefficient,moderate,moderate,moderate,moderate,moderate,moderate,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient
node_name,,,,,,,,,,,,,,,,,,,,,,,,
366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.98,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,25.42,0.0,0.0,0.0
22655375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49,0.0,0.0,0.0,0.0,0.0,25.98,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0
49964896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.41,0.14,0.0,0.0,0.0,0.0,36.45,0.0,0.0,0.0
58512373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0
98811351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.74,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,29.59,0.0,0.0,0.0
00366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0
0049db0c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.71,0.0,0.0,0.0,0.0,0.0,21.81,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
0064a367,28.2,29.26,0.0,0.0,16.89,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.54,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
