cpu_cat,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high
0065ef1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0
05c5ef00,46.42,30.24,0.0,0.0,3.76,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0861be67,0.0,3.73,0.0,0.0,2.71,0.0,0.0,0.0,87.59,0.0,0.0,0.0,0.0,0.0,0.06,4.59,0.86,0.0,0.0,0.0,0.46,0.0,0.0,0.0
111896c8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1125a01c,0.52,1.88,0.0,0.0,1.04,0.0,0.0,0.0,85.33,0.0,0.0,0.0,0.0,0.0,0.06,6.2,4.5,0.0,0.0,0.0,0.47,0.0,0.0,0.0
13a6f4c8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.51,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0
1d247e53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.92,11.63,6.4,0.0,0.0,0.0,0.65,0.0,0.0,0.0
1e64c783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.02,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22655375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
25fe225b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.15,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,12.37,0.0,0.0,0.0
28e8b849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
2eea5215,6.79,7.37,0.0,0.0,0.2,1.76,3.85,0.0,78.37,0.0,0.0,0.0,0.0,0.0,0.23,0.58,0.57,0.0,0.0,0.0,0.28,0.0,0.0,0.0
2fded806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,64.87,0.0,0.0,0.0
366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
391ea34d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.92,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,28.93,0.0,0.0,0.0
3d7960e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0
417242bc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
43e593b3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.49,0.0,0.0,0.0,0.0,0.0,49.87,4.3,7.75,0.0,0.0,0.0,2.58,0.0,0.0,0.0
46de937b,0.0,0.1,0.0,0.0,0.27,0.0,5.26,0.28,88.03,0.0,0.0,0.0,0.0,0.0,0.43,2.33,0.53,0.0,0.0,0.0,2.76,0.0,0.0,0.0
4786760b,2.72,0.42,0.0,0.0,3.94,0.27,0.0,0.0,83.78,0.0,0.0,0.0,0.0,0.0,0.01,5.09,3.54,0.0,0.0,0.0,0.24,0.0,0.0,0.0
497660f4,21.1,8.58,0.0,0.0,0.67,4.05,3.85,0.05,47.69,0.0,0.14,0.0,0.0,0.0,0.35,9.56,3.49,0.0,0.0,0.0,0.47,0.0,0.0,0.0
49964896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51244a6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0
5433c3e6,34.79,24.64,0.0,0.0,2.14,22.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54c3811d,1.21,0.72,0.0,0.0,0.6,0.38,5.4,0.14,85.9,0.01,0.15,0.02,0.0,0.0,0.24,4.43,0.19,0.0,0.0,0.0,0.59,0.0,0.0,0.0
58512373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0
5d7db037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0
5e87c22e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0
6a1acc69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.23,0.0,0.0,0.0,0.0,0.0,0.72,0.11,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0
6bb5c698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89,0.0,0.0,0.0,0.0,0.0,0.21,0.76,0.0,0.0,0.0,0.0,9.14,0.0,0.0,0.0
6d834fb8,0.0,0.99,0.0,0.0,1.07,0.0,0.0,0.0,89.21,0.0,0.0,0.0,0.0,0.0,0.17,6.14,2.13,0.0,0.0,0.0,0.29,0.0,0.0,0.0
764b2e98,57.25,21.86,0.0,0.0,3.23,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788b0a71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,10.29,20.54,0.0,0.0,0.0,0.0,61.61,0.0,0.0,0.0
7c7d255d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
7da5db71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.61,0.0,0.0,0.0,0.0,0.0,49.18,4.93,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
7f4f3762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
82415d68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.64,0.0,0.0,0.0
85c6cd05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.08,0.0,0.0,0.0,0.0,0.0,35.19,35.08,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0
85ebbabd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.95,0.0,0.0,0.0,0.0,0.0,34.15,12.68,3.81,0.0,0.0,0.0,0.43,0.0,0.0,0.0
8621bb59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
88b02143,7.16,4.78,0.0,0.0,1.67,2.34,4.33,0.0,71.3,0.0,0.05,0.0,0.0,0.0,0.75,2.63,2.42,0.0,0.0,0.0,2.54,0.0,0.0,0.0
8bab4dff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35,0.0,0.0,0.0,0.0,0.0,0.15,4.37,0.03,0.0,0.0,0.0,30.11,0.0,0.0,0.0
8d2843f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,31.38,57.35,0.0,0.0,0.0,0.0,11.27,0.0,0.0,0.0
98811351,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,96.68,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0
a22bdd7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
a26788f6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52,0.0,0.0,0.0,0.0,0.0,0.67,0.15,0.0,0.0,0.0,0.0,87.67,0.0,0.0,0.0
a4ec376f,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,98.53,0.0,0.0,0.0,0.0,0.0,0.14,0.89,0.07,0.0,0.0,0.0,0.33,0.0,0.0,0.0
a57bfdd7,0.0,2.58,0.0,0.0,1.93,0.0,0.0,0.0,84.94,0.0,0.0,0.0,0.0,0.0,0.26,6.61,3.31,0.0,0.0,0.0,0.36,0.0,0.0,0.0
b1b36b26,21.14,66.56,0.0,0.0,0.65,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b6002837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.52,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,29.46,0.0,0.0,0.0
b88cae4d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
bb37a269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.96,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0
cbf4a974,37.93,27.62,0.0,0.0,1.82,22.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ce52f982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.42,0.0,0.0,0.0,0.0,0.0,0.48,0.14,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0
d424b38d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0
d7ea95c2,4.09,0.34,0.0,0.0,0.43,0.9,4.74,0.14,87.09,0.0,0.1,0.0,0.0,0.0,0.42,0.85,0.53,0.0,0.0,0.0,0.38,0.0,0.0,0.0
de50c1fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0
e2b6ed0e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e41df102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0
e4362c19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,35.88,0.04,0.0,0.0,0.0,0.0,59.28,0.0,0.0,0.0
e998d442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
ea7f6999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
fd5a1b56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,0.0,0.0,0.0
