cpu_cat,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high
eff_class,efficient,efficient,efficient,efficient,efficient,efficient,inefficient,inefficient,inefficient,inefficient,inefficient,inefficient,moderate,moderate,moderate,moderate,moderate,moderate,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient
node_name,,,,,,,,,,,,,,,,,,,,,,,,
49964896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
51244a6f,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5433c3e6,0.0,0.13,0.0,0.0,3.68,0.0,5.62,0.0,55.68,0.0,0.0,0.0,0.0,0.0,0.65,28.44,4.69,0.0,0.0,0.0,1.11,0.0,0.0,0.0
54c3811d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58512373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0
5d7db037,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e87c22e,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a1acc69,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6bb5c698,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6d834fb8,52.09,34.37,0.0,0.0,0.47,11.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
