cpu_cat,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high
eff_class,efficient,efficient,efficient,efficient,efficient,efficient,inefficient,inefficient,inefficient,inefficient,inefficient,inefficient,moderate,moderate,moderate,moderate,moderate,moderate,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient
node_name,,,,,,,,,,,,,,,,,,,,,,,,
366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
22655375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0
49964896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.32,0.0,0.0,0.0,0.0,0.0,8.68,0.0,0.0,0.0
58512373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
98811351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.77,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0
00366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0
0049db0c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,0.0
0064a367,67.57,1.58,0.0,0.0,7.14,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
