node,vm_id,user_id,project_id,vcpus
3176c89e,,,,
3176c89e,57549711,687850f0,a99b2934,48.0
3176c89e,d0706814,687850f0,a99b2934,24.0
3176c89e,396b1530,687850f0,a99b2934,24.0
4791e4fe,,,,
4791e4fe,5482e5e2,687850f0,a99b2934,48.0
6ff55332,,,,
6ff55332,39d6d5f5,687850f0,a99b2934,24.0
6ff55332,72ad98b4,687850f0,a99b2934,24.0
6ff55332,ae34f2ed,687850f0,a99b2934,48.0
7e99a5c6,,,,
7e99a5c6,b2f29695,687850f0,a99b2934,24.0
7e99a5c6,3a2a709e,687850f0,a99b2934,24.0
7f384201,,,,
7f384201,1bd8b816,687850f0,a99b2934,24.0
7f384201,e068054a,687850f0,a99b2934,48.0
7f384201,6e176596,687850f0,a99b2934,24.0
7f384201,8083079d,687850f0,a99b2934,24.0
a2ff297e,,,,
a2ff297e,bc1a9d9d,687850f0,a99b2934,24.0
a2ff297e,9585c773,687850f0,a99b2934,24.0
a2ff297e,bf28c8c1,687850f0,a99b2934,48.0
a2ff297e,9147bb6a,687850f0,a99b2934,6.0
b022aa11,,,,
b022aa11,a1b13cf2,687850f0,a99b2934,48.0
c2736b43,,,,
c2736b43,3f1153d5,687850f0,a99b2934,24.0
c2736b43,6ece5dcb,687850f0,a99b2934,48.0
