cluster,amount_unique_projects,amount_unique_users,total_vcpus,amount_nodes,amount_vm,projects,users
0,54,58,11158.0,71,460,"['0cbb333b', '74dfdf00', '995e7afb', '9a01489d', '8bb913f1', '27d80209', 'd986ba1f', '0eb602b1', '906147a9', 'bcefe8f2', '67296c0a', '43d3e415', 'a5abeac5', 'c16dc6f3', '0633d671', '70ce18f7', '4d9169b2', '6b583f77', '07366210', 'a9366595', 'c5e1c75e', '73f33335', '17964622', '6a558d19', '0c236682', '940274ae', '7d4a4a5a', '0fc5927e', '14793190', 'f09054da', '8fffbf63', '3f1912c2', '7fdd1b8b', 'e7f3706a', '4bd44b4c', '089f5c7f', '64d79e90', '2a314fea', '11fc31b4', '145e008e', '4ba6ce42', '8a5c0dae', '50c87cc4', '5dc12a18', 'f3758510', 'eb952803', '1c29e740', '89049b4b', '0e0251eb', '7a532e1f', '58c10690', 'a179bb74', 'b3e720df', 'a99b2934']","['3b3fda5c', 'de65e922', '39786247', '507c94d6', '1a324c91', '1970b804', 'a878bb6a', '167938a6', '7043311c', '7f7c4759', '56f318e5', 'e0ddb46a', '41a5c328', '9023bd52', 'ea25ef37', '59b2c509', 'f3a6f4e5', '66a7e023', '7de5e340', 'd1180665', '76fd59b4', 'f098d7fe', 'c0ede4e4', '8984204a', 'a16f591f', '1004f468', '90e4d383', '4af667b3', 'a62ac2b8', '933a1206', 'fe56c37c', 'ac6b438e', '7f03a38d', '37499268', '0fb4c56f', 'f335db13', 'bd41a7e4', '10175724', '1f803fc2', '3ec83b74', 'c9187dc4', '4de194f3', '17de5058', '9baaeb49', '110713be', 'e53598fb', '5934ef68', '7190ddfa', '4a88a504', '93563d4d', '94d5b733', '756b77ce', '97f5bcf7', '7fdda4e6', 'c1eb1c1c', '687850f0', 'c7fcd779', '313ff7da']"
1,51,52,5865.0,71,312,"['0cbb333b', '74dfdf00', '995e7afb', '9a01489d', '8bb913f1', '27d80209', 'd986ba1f', '0eb602b1', '906147a9', 'bcefe8f2', '67296c0a', '43d3e415', 'a5abeac5', 'c16dc6f3', '0633d671', '70ce18f7', '4d9169b2', '07366210', 'a9366595', 'c5e1c75e', '73f33335', '17964622', '6a558d19', '0c236682', '940274ae', '7d4a4a5a', '0fc5927e', '14793190', 'f09054da', '8fffbf63', '3f1912c2', '7fdd1b8b', 'e7f3706a', '4bd44b4c', '089f5c7f', '2a314fea', '11fc31b4', '145e008e', '4ba6ce42', '8a5c0dae', '50c87cc4', '5dc12a18', 'eb952803', '1c29e740', '89049b4b', '0e0251eb', '7a532e1f', '58c10690', 'a179bb74', 'b3e720df', 'a99b2934']","['3b3fda5c', 'de65e922', '39786247', '507c94d6', '1a324c91', '1970b804', 'a878bb6a', '167938a6', '7043311c', '7f7c4759', '56f318e5', 'e0ddb46a', '9023bd52', '41a5c328', '59b2c509', 'f3a6f4e5', '66a7e023', '7de5e340', '76fd59b4', 'f098d7fe', 'c0ede4e4', '8984204a', 'a16f591f', '1004f468', '90e4d383', '4af667b3', 'a62ac2b8', '933a1206', 'fe56c37c', 'ac6b438e', '37499268', '0fb4c56f', 'f335db13', 'bd41a7e4', '10175724', 'c9187dc4', '4de194f3', '17de5058', '9baaeb49', 'e53598fb', '110713be', '5934ef68', '7190ddfa', '4a88a504', '93563d4d', '94d5b733', '756b77ce', '97f5bcf7', '7fdda4e6', 'c1eb1c1c', '687850f0', 'c7fcd779']"
2,19,18,2747.0,71,55,"['0cbb333b', 'd986ba1f', '27d80209', '43d3e415', '4d9169b2', '70ce18f7', '6b583f77', 'a9366595', 'c5e1c75e', '7d4a4a5a', '0fc5927e', '7fdd1b8b', '4bd44b4c', '089f5c7f', '2a314fea', '50c87cc4', '0e0251eb', '7a532e1f', 'a99b2934']","['37499268', '4a88a504', 'f098d7fe', '0fb4c56f', '39786247', '94d5b733', '756b77ce', '1970b804', '97f5bcf7', 'e0ddb46a', '167938a6', '7f7c4759', '687850f0', '7043311c', '8984204a', '59b2c509', 'a62ac2b8', '17de5058']"
