cluster,amount_unique_projects,amount_unique_users,total_vcpus,amount_nodes,amount_vm,projects,users
0,2,2,94.0,5,3,"['3f1912c2', 'a5abeac5']","['507c94d6', '4af667b3']"
1,2,2,94.0,5,3,"['3f1912c2', 'a5abeac5']","['507c94d6', '4af667b3']"
2,2,2,94.0,5,3,"['3f1912c2', 'a5abeac5']","['507c94d6', '4af667b3']"
