node_name,cluster,mean_power,sum_power,count_power,mean_cpu,sum_cpu,count_cpu
0d4840c3,0,75.99937647169634,806885.38,10648,0.30572572289724026,3245.89,10648
0d4840c3,1,185.57823690300862,882053.36,4753,18.894561329686514,89805.85,4753
0d4840c3,2,246.46503412969284,288857.02,1172,38.286902730375424,44872.25,1172
21e01022,0,73.84092793771501,2446940.67,40240,0.7560990403766069,25055.61,40240
21e01022,1,228.86615552452437,2622348.41,11458,47.04552365159714,539047.61,11458
21e01022,2,218.29356628016296,1393149.54,6382,40.4870949545597,258388.64,6382
2d2d0311,0,236.21090064397427,5135224.98,21740,34.548159153633854,751076.98,21740
2d2d0311,1,77.55377972258917,1878662.76,31326,1.2354301519154558,29927.06,31326
2d2d0311,2,237.4396890572055,1191234.92,5017,35.97921865656767,180507.74,5017
3eb76848,0,226.0224368603681,5145852.82,22767,33.24083146659639,756794.01,22767
3eb76848,1,75.32101080685788,926975.68,19409,0.9118152271065246,11221.71,19409
3eb76848,2,264.53225840930526,4207385.57,15905,47.275991826469664,751924.65,15905
4a4cffb4,0,242.23612840588788,3867299.79,15965,34.202963357344196,546050.31,15965
4a4cffb4,1,79.28409240710825,2453842.66,38052,0.941880775444265,29151.21,38052
4a4cffb4,2,265.53328413284135,1079392.8,4065,41.38785731857319,168241.64,4065
54f5286d,0,285.98053319783196,4221072.67,14760,49.78663753387534,734850.77,14760
54f5286d,1,80.09816434276432,1183370.28,14774,1.4189237850277514,20963.18,14774
54f5286d,2,266.7104610363117,1307414.68,4902,41.35924928600571,202743.04,4902
5c5e400b,0,76.46291908216753,2202667.31,28807,0.7349730968167459,21172.37,28807
5c5e400b,1,202.06911601357606,1309812.01,6482,24.34221845109534,157786.26,6482
5c5e400b,2,72.86393541812623,1144036.65,22802,0.5230953442455895,8213.12,22802
77d57e28,0,239.65163500428974,3910635.38,16318,36.917061527147936,602412.61,16318
77d57e28,1,77.86725330256247,1956959.81,32233,0.9143701257361133,22979.95,32233
77d57e28,2,260.2007270247587,2480233.33,9532,46.11441040704994,439562.56,9532
79b5307d,0,78.62804421230346,1490315.95,26056,1.4192328796032498,26900.14,26056
79b5307d,1,219.1138488280812,3907676.38,17834,32.688224178535386,582961.79,17834
79b5307d,2,260.91418093426336,3703154.97,14193,50.65586486296061,718958.69,14193
a2f271b4,0,76.56717214742882,3469258.57,52411,0.6331701611123371,28688.94,52411
a2f271b4,1,205.58566689234937,607300.06,2954,24.93931279620853,73670.73,2954
a2f271b4,2,279.4970960618329,759393.61,2717,47.18792050055208,128209.58,2717
b654db47,0,77.15513718662953,2215895.54,28720,0.6402559192200558,18388.15,28720
b654db47,1,189.7656201438849,1318871.06,6950,19.947299280575542,138633.73,6950
b654db47,2,73.65026522079958,1127438.26,22410,0.5065475568330285,7754.2300000000005,22410
cfc400f1,0,248.9717904007829,5597134.82,22481,35.331721898492056,794292.44,22481
cfc400f1,1,90.79404214131488,1219454.78,20533,2.2156846102300647,29758.86,20533
cfc400f1,2,287.98646953405023,4338804.15,15066,48.933840435417494,737237.24,15066
