,cluster,node_name,efficiency,count_measurements,weighted_efficiency
103,2,366801,2610.6177969149344,1090,2.395062199004527
74,1,111896c8,36449.196275607035,16009,2.2767940705607495
91,1,8621bb59,36050.70692781587,16009,2.2519024878390823
114,2,1125a01c,35951.048180892874,16003,2.2465192889391288
113,2,0861be67,35588.50492054644,16000,2.2242815575341526
90,1,7c7d255d,35190.33825976716,16005,2.1987090446589916
125,2,4786760b,34776.33498617857,16001,2.1733851000674065
151,2,b1b36b26,34484.79869162027,16007,2.1543573868695116
153,2,bb37a269,34198.78843874077,16003,2.137023585499017
77,1,28e8b849,34199.36094749992,16005,2.136792311621363
