,node_name,weighted_efficiency,efficiency,count_measurements
0,0ad2c0c4,0.14018043200136623,2613.0739462377464,50446
1,2dbc131e,0.01406226730813856,311.0213339242571,51010
2,341872a6,0.03698606304407079,460.46574595572866,51010
3,41721e4b,0.15905489370933085,2931.711949246065,50446
4,5180b174,0.031868846940023336,428.1987183994151,51009
5,5333662e,0.026064020467049837,565.3821319222276,55288
6,5ede733f,0.18064029311611424,3291.456999820807,51010
7,6fdf4d0d,0.01856604994752438,421.44767316434263,55290
8,8674a4f2,0.02014263843969816,354.8468077673445,51009
9,8ccd7b3c,0.02579731832893424,530.0216296379364,50447
10,8d5a6c7e,0.03830081984480399,836.8630799980155,50448
11,a2ffa1e3,0.17125357809845593,3137.7843733886402,51010
12,b9c737a2,0.019777397413557943,524.8265771777988,51010
13,bce59923,0.019176190389340278,340.3919330013807,51009
14,bd55f82d,0.17435485273477414,3112.044608160819,51009
15,c658b44f,0.016543817202673297,522.4830949303393,51010
16,e5886d85,0.020013538397373135,366.39428266298506,50448
17,eb5d8f42,0.16353352382538683,2754.669715254757,36482
18,f006f6ea,0.019831216026924548,472.3858309882163,51010
19,f301a5e3,4.950858118168959,19616.655547275157,16574
