,cluster,model,MAE,R2
0,0,RF_PCA,11.703301666511067,0.9889136743383685
1,0,RF,10.381140571257816,0.9879843787137907
2,0,LR,1.4666183242880113,0.999848856025336
3,0,LR_PCA,20.38992147876142,0.9696452173267297
4,1,RF_PCA,11.057258298380539,-22.247695886234002
5,1,RF,2.32882882331257,-0.24893186037991355
6,1,LR,0.5398939624539167,0.9243619693834014
7,1,LR_PCA,12.292162253677354,-27.554755249339287
8,2,RF_PCA,74.53741045472509,-79.81327873033173
9,2,RF,62.738189173208326,-59.93631112540429
10,2,LR,19.602626137352956,-7.106121971715938
11,2,LR_PCA,7.860195727114501,-0.1346928145142734
