,cluster,model,MAE,R2
0,0,RF_PCA,2.6533107630379122,0.8876494663768065
1,0,LR_PCA,3.813790549541727,0.8355988491283427
2,1,RF_PCA,2.16183051819414,0.964621294687053
3,1,LR_PCA,3.224350489782057,0.9336518584286642
4,2,RF_PCA,1.2826793931280678,0.8683696900537408
5,2,LR_PCA,2.187270061764631,0.7457930333476377
