,node_name,weighted_efficiency,efficiency,count_measurements
0,6764465,0.08137414966494042,1568.3782773344044,46917
1,06764465,1.5363411434455934,1348.9798023042767,8928
2,184b905d,0.02375814644293394,549.8246420811064,55833
3,3a4828f5,0.12934891357011902,1775.459634562033,55845
4,46362b76,0.053372906667956604,520.815720037737,55845
5,4985a7cf,0.08491533836277743,1480.8034812286876,55845
6,4d8b845e,0.04106692353051855,415.02544810426633,55845
7,578d99bd,0.1389660939634013,3127.639622073019,95581
8,6342c79e,0.010583200980060463,226.57574978211446,55845
9,668c569c,0.011116509586427827,237.99335373583332,55845
10,7c804642,0.10298912669932514,1448.2365315365207,55845
11,972da8ab,0.11774258041223823,2358.852768302042,46018
12,a484c600,0.03409082123774645,847.3024373872956,90130
13,a639d055,0.02599378211303934,569.3895648455382,55845
14,a9e38583,0.03640936419434855,616.4343131050289,55845
15,bb1bcaff,0.1569698612220658,2054.2444661945074,55845
16,c9900ab9,0.035680451968625876,865.4027202248295,95685
17,d35334d1,0.10378056328943794,1689.2993293451418,54658
18,d8d6d1e0,0.03817217918875874,835.5129735117558,55845
19,dda1bb77,0.02373612995518739,446.1378065969882,55845
20,fb77ceef,0.05567023238853735,1206.5354859691067,55845
