,cluster,model,MAE,R2
0,0,RF_PCA,3.463974191304347,0.9964685777765023
1,0,LR_PCA,6.739517451832936,0.9893590748718405
2,1,RF_PCA,3.169992133887308,0.9940214039534637
3,1,LR_PCA,8.92156506405584,0.9718967922762617
4,2,RF_PCA,6.278617756288024,0.9886671760131591
5,2,LR_PCA,10.180031060068062,0.9634909057660644
