node_name,0,1,2
0eb86326,27847.0,11992.0,18241.0
7f3747b5,39842.0,2235.0,16003.0
ba36d475,9212.0,31415.0,17453.0
d5a5fc09,27004.0,13063.0,18013.0
fe2955c5,39849.0,2235.0,15996.0
Total,143754.0,60940.0,85706.0
Percentage,49.5,20.98,29.51
