node_name,0,1,2
0ad2c0c4,34437,7634,16009
2dbc131e,17793,29987,10300
341872a6,22728,19347,16005
41721e4b,34434,7634,16012
5180b174,21727,20342,16011
5333662e,10961,24546,22573
5ede733f,34993,7070,16017
6fdf4d0d,25681,15901,16498
8674a4f2,17399,24715,15966
8ccd7b3c,7504,21978,28598
8d5a6c7e,21289,7569,29222
a2ffa1e3,34992,7070,16018
b9c737a2,35376,15954,6750
bce59923,24785,17288,16007
bd55f82d,34993,7071,16016
c658b44f,31870,19139,7071
e5886d85,19139,26042,12899
eb5d8f42,21604,20629,15847
f006f6ea,31797,18060,8223
f301a5e3,5754,8799,2021
